Record_ID,Data_Load_Date,Age,Age_Group,Sex,Job,Job_Category,Housing,Saving accounts,Checking account,Credit amount,Credit_Tier,Duration,Duration_Category,Purpose,Estimated_Monthly_Payment,Credit_Per_Age,Risk,Risk_Score,Exposure_Level,High_Amount_Flag,Long_Duration_Flag,Young_Applicant_Flag
32,2026-01-06,27,Adult (26-35),male,2,Skilled,own,little,little,4020,Medium (2K-5K),24,Medium (1-2yr),furniture/equipment,167.5,148.89,good,1,Medium Exposure,1,0,1
33,2026-01-06,30,Adult (26-35),male,2,Skilled,own,moderate,moderate,5866,Large (5K-10K),18,Medium (1-2yr),car,325.89,195.53,good,1,Medium Exposure,1,0,0
34,2026-01-06,57,Senior (51+),male,1,Semi-Skilled,rent,Unknown,Unknown,1264,Small (<2K),12,Short (<1yr),business,105.33,22.18,good,1,Medium Exposure,0,0,0
35,2026-01-06,33,Adult (26-35),female,3,Highly Skilled,own,little,rich,1474,Small (<2K),12,Short (<1yr),furniture/equipment,122.83,44.67,good,1,Medium Exposure,0,0,0
36,2026-01-06,25,Young (18-25),male,1,Semi-Skilled,own,little,moderate,4746,Medium (2K-5K),45,Very Long (3yr+),radio/TV,105.47,189.84,bad,0,Medium Exposure,1,1,1
37,2026-01-06,31,Adult (26-35),male,2,Skilled,free,little,Unknown,6110,Large (5K-10K),48,Very Long (3yr+),education,127.29,197.1,good,1,High Exposure,1,1,0
38,2026-01-06,37,Middle-Aged (36-50),male,2,Skilled,own,little,rich,2100,Medium (2K-5K),18,Medium (1-2yr),radio/TV,116.67,56.76,bad,0,Medium Exposure,0,0,0
39,2026-01-06,37,Middle-Aged (36-50),male,2,Skilled,own,little,rich,1225,Small (<2K),10,Short (<1yr),domestic appliances,122.5,33.11,good,1,Low Exposure,0,0,0
40,2026-01-06,24,Young (18-25),male,2,Skilled,own,little,moderate,458,Small (<2K),9,Short (<1yr),radio/TV,50.89,19.08,good,1,Low Exposure,0,0,1
41,2026-01-06,30,Adult (26-35),male,3,Highly Skilled,own,quite rich,Unknown,2333,Medium (2K-5K),30,Long (2-3yr),radio/TV,77.77,77.77,good,1,Medium Exposure,1,1,0
42,2026-01-06,26,Adult (26-35),male,2,Skilled,own,quite rich,moderate,1158,Small (<2K),12,Short (<1yr),radio/TV,96.5,44.54,good,1,Medium Exposure,0,0,1
43,2026-01-06,44,Middle-Aged (36-50),male,1,Semi-Skilled,own,little,moderate,6204,Large (5K-10K),18,Medium (1-2yr),repairs,344.67,141.0,good,1,Medium Exposure,1,0,0
44,2026-01-06,24,Young (18-25),male,2,Skilled,rent,moderate,little,6187,Large (5K-10K),30,Long (2-3yr),car,206.23,257.79,good,1,High Exposure,1,1,1
45,2026-01-06,58,Senior (51+),female,1,Semi-Skilled,free,little,little,6143,Large (5K-10K),48,Very Long (3yr+),car,127.98,105.91,bad,0,High Exposure,1,1,0
46,2026-01-06,35,Adult (26-35),female,3,Highly Skilled,own,little,Unknown,1393,Small (<2K),11,Short (<1yr),car,126.64,39.8,good,1,Low Exposure,0,0,0
47,2026-01-06,39,Middle-Aged (36-50),male,2,Skilled,own,quite rich,Unknown,2299,Medium (2K-5K),36,Long (2-3yr),radio/TV,63.86,58.95,good,1,Medium Exposure,0,1,0
48,2026-01-06,23,Young (18-25),female,0,Unskilled,rent,quite rich,little,1352,Small (<2K),6,Short (<1yr),car,225.33,58.78,good,1,Low Exposure,0,0,1
49,2026-01-06,39,Middle-Aged (36-50),male,1,Semi-Skilled,own,little,Unknown,7228,Large (5K-10K),11,Short (<1yr),car,657.09,185.33,good,1,Medium Exposure,1,0,0
50,2026-01-06,28,Adult (26-35),female,2,Skilled,own,moderate,Unknown,2073,Medium (2K-5K),12,Short (<1yr),radio/TV,172.75,74.04,good,1,Medium Exposure,0,0,1
51,2026-01-06,29,Adult (26-35),male,1,Semi-Skilled,own,Unknown,moderate,2333,Medium (2K-5K),24,Medium (1-2yr),furniture/equipment,97.21,80.45,good,1,Medium Exposure,1,0,1
52,2026-01-06,30,Adult (26-35),male,3,Highly Skilled,own,little,moderate,5965,Large (5K-10K),27,Long (2-3yr),car,220.93,198.83,good,1,High Exposure,1,1,0
53,2026-01-06,25,Young (18-25),male,2,Skilled,own,little,Unknown,1262,Small (<2K),12,Short (<1yr),radio/TV,105.17,50.48,good,1,Medium Exposure,0,0,1
54,2026-01-06,31,Adult (26-35),male,2,Skilled,own,Unknown,Unknown,3378,Medium (2K-5K),18,Medium (1-2yr),car,187.67,108.97,good,1,Medium Exposure,1,0,0
55,2026-01-06,57,Senior (51+),male,2,Skilled,free,little,moderate,2225,Medium (2K-5K),36,Long (2-3yr),car,61.81,39.04,bad,0,Medium Exposure,0,1,0
56,2026-01-06,26,Adult (26-35),male,1,Semi-Skilled,own,Unknown,Unknown,783,Small (<2K),6,Short (<1yr),car,130.5,30.12,good,1,Low Exposure,0,0,1
57,2026-01-06,52,Senior (51+),male,3,Highly Skilled,own,Unknown,moderate,6468,Large (5K-10K),12,Short (<1yr),radio/TV,539.0,124.38,bad,0,Medium Exposure,1,0,0
58,2026-01-06,31,Adult (26-35),female,2,Skilled,own,little,Unknown,9566,Large (5K-10K),36,Long (2-3yr),radio/TV,265.72,308.58,good,1,High Exposure,1,1,0
59,2026-01-06,23,Young (18-25),female,3,Highly Skilled,own,little,rich,1961,Small (<2K),18,Medium (1-2yr),car,108.94,85.26,good,1,Medium Exposure,0,0,1
60,2026-01-06,23,Young (18-25),female,1,Semi-Skilled,rent,little,little,6229,Large (5K-10K),36,Long (2-3yr),furniture/equipment,173.03,270.83,bad,0,High Exposure,1,1,1
61,2026-01-06,27,Adult (26-35),male,2,Skilled,own,little,moderate,1391,Small (<2K),9,Short (<1yr),business,154.56,51.52,good,1,Low Exposure,0,0,1
62,2026-01-06,50,Middle-Aged (36-50),male,2,Skilled,own,Unknown,moderate,1537,Small (<2K),15,Medium (1-2yr),radio/TV,102.47,30.74,good,1,Medium Exposure,0,0,0
63,2026-01-06,61,Senior (51+),male,3,Highly Skilled,free,little,moderate,1953,Small (<2K),36,Long (2-3yr),business,54.25,32.02,bad,0,Medium Exposure,0,1,0
64,2026-01-06,25,Young (18-25),male,2,Skilled,own,little,moderate,14421,Very Large (10K+),48,Very Long (3yr+),business,300.44,576.84,bad,0,High Exposure,1,1,1
65,2026-01-06,26,Adult (26-35),female,2,Skilled,own,little,Unknown,3181,Medium (2K-5K),24,Medium (1-2yr),radio/TV,132.54,122.35,good,1,Medium Exposure,1,0,1
66,2026-01-06,48,Middle-Aged (36-50),male,2,Skilled,own,Unknown,Unknown,5190,Large (5K-10K),27,Long (2-3yr),repairs,192.22,108.12,good,1,High Exposure,1,1,0
67,2026-01-06,29,Adult (26-35),female,2,Skilled,own,little,Unknown,2171,Medium (2K-5K),12,Short (<1yr),radio/TV,180.92,74.86,good,1,Medium Exposure,0,0,1
68,2026-01-06,22,Young (18-25),male,2,Skilled,own,rich,moderate,1007,Small (<2K),12,Short (<1yr),car,83.92,45.77,good,1,Medium Exposure,0,0,1
69,2026-01-06,37,Middle-Aged (36-50),male,2,Skilled,free,little,Unknown,1819,Small (<2K),36,Long (2-3yr),education,50.53,49.16,bad,0,Medium Exposure,0,1,0
70,2026-01-06,25,Young (18-25),female,2,Skilled,own,Unknown,Unknown,2394,Medium (2K-5K),36,Long (2-3yr),radio/TV,66.5,95.76,good,1,Medium Exposure,1,1,1
71,2026-01-06,30,Adult (26-35),female,2,Skilled,own,little,Unknown,8133,Large (5K-10K),36,Long (2-3yr),car,225.92,271.1,good,1,High Exposure,1,1,0
72,2026-01-06,46,Middle-Aged (36-50),male,1,Semi-Skilled,rent,Unknown,Unknown,730,Small (<2K),7,Short (<1yr),radio/TV,104.29,15.87,good,1,Low Exposure,0,0,0
73,2026-01-06,51,Senior (51+),male,3,Highly Skilled,free,little,little,1164,Small (<2K),8,Short (<1yr),vacation/others,145.5,22.82,good,1,Low Exposure,0,0,0
74,2026-01-06,41,Middle-Aged (36-50),female,1,Semi-Skilled,own,little,moderate,5954,Large (5K-10K),42,Very Long (3yr+),business,141.76,145.22,good,1,High Exposure,1,1,0
75,2026-01-06,40,Middle-Aged (36-50),male,3,Highly Skilled,own,Unknown,little,1977,Small (<2K),36,Long (2-3yr),education,54.92,49.42,bad,0,Medium Exposure,0,1,0
76,2026-01-06,66,Senior (51+),male,3,Highly Skilled,free,little,little,1526,Small (<2K),12,Short (<1yr),car,127.17,23.12,good,1,Medium Exposure,0,0,0
77,2026-01-06,34,Adult (26-35),male,2,Skilled,own,little,little,3965,Medium (2K-5K),42,Very Long (3yr+),radio/TV,94.4,116.62,bad,0,Medium Exposure,1,1,0
78,2026-01-06,51,Senior (51+),male,2,Skilled,own,little,moderate,4771,Medium (2K-5K),11,Short (<1yr),radio/TV,433.73,93.55,good,1,Medium Exposure,1,0,0
79,2026-01-06,39,Middle-Aged (36-50),male,1,Semi-Skilled,own,Unknown,Unknown,9436,Large (5K-10K),54,Very Long (3yr+),car,174.74,241.95,good,1,High Exposure,1,1,0
80,2026-01-06,22,Young (18-25),male,2,Skilled,own,little,moderate,3832,Medium (2K-5K),30,Long (2-3yr),furniture/equipment,127.73,174.18,good,1,Medium Exposure,1,1,1
81,2026-01-06,44,Middle-Aged (36-50),female,2,Skilled,own,Unknown,Unknown,5943,Large (5K-10K),24,Medium (1-2yr),radio/TV,247.62,135.07,bad,0,Medium Exposure,1,0,0
82,2026-01-06,47,Middle-Aged (36-50),male,2,Skilled,own,quite rich,Unknown,1213,Small (<2K),15,Medium (1-2yr),radio/TV,80.87,25.81,good,1,Medium Exposure,0,0,0
83,2026-01-06,24,Young (18-25),female,1,Semi-Skilled,rent,moderate,Unknown,1568,Small (<2K),18,Medium (1-2yr),business,87.11,65.33,good,1,Medium Exposure,0,0,1
84,2026-01-06,58,Senior (51+),female,1,Semi-Skilled,own,little,little,1755,Small (<2K),24,Medium (1-2yr),vacation/others,73.12,30.26,good,1,Medium Exposure,0,0,0
85,2026-01-06,52,Senior (51+),male,1,Semi-Skilled,own,little,little,2315,Medium (2K-5K),10,Short (<1yr),radio/TV,231.5,44.52,good,1,Medium Exposure,0,0,0
86,2026-01-06,29,Adult (26-35),female,3,Highly Skilled,own,little,Unknown,1412,Small (<2K),12,Short (<1yr),business,117.67,48.69,good,1,Medium Exposure,0,0,1
87,2026-01-06,27,Adult (26-35),female,2,Skilled,own,little,moderate,1295,Small (<2K),18,Medium (1-2yr),furniture/equipment,71.94,47.96,good,1,Medium Exposure,0,0,1
88,2026-01-06,47,Middle-Aged (36-50),male,2,Skilled,free,moderate,moderate,12612,Very Large (10K+),36,Long (2-3yr),education,350.33,268.34,bad,0,High Exposure,1,1,0
89,2026-01-06,30,Adult (26-35),male,3,Highly Skilled,own,moderate,little,2249,Medium (2K-5K),18,Medium (1-2yr),car,124.94,74.97,good,1,Medium Exposure,0,0,0
90,2026-01-06,28,Adult (26-35),male,2,Skilled,own,little,little,1108,Small (<2K),12,Short (<1yr),repairs,92.33,39.57,bad,0,Medium Exposure,0,0,1
91,2026-01-06,56,Senior (51+),male,2,Skilled,own,little,Unknown,618,Small (<2K),12,Short (<1yr),radio/TV,51.5,11.04,good,1,Medium Exposure,0,0,0
92,2026-01-06,54,Senior (51+),male,2,Skilled,own,little,little,1409,Small (<2K),12,Short (<1yr),car,117.42,26.09,good,1,Medium Exposure,0,0,0
93,2026-01-06,33,Adult (26-35),female,1,Semi-Skilled,own,Unknown,Unknown,797,Small (<2K),12,Short (<1yr),radio/TV,66.42,24.15,bad,0,Medium Exposure,0,0,0
94,2026-01-06,20,Young (18-25),male,2,Skilled,rent,Unknown,rich,3617,Medium (2K-5K),24,Medium (1-2yr),furniture/equipment,150.71,180.85,good,1,Medium Exposure,1,0,1
95,2026-01-06,54,Senior (51+),male,2,Skilled,own,rich,moderate,1318,Small (<2K),12,Short (<1yr),car,109.83,24.41,good,1,Medium Exposure,0,0,0
96,2026-01-06,58,Senior (51+),male,2,Skilled,rent,little,moderate,15945,Very Large (10K+),54,Very Long (3yr+),business,295.28,274.91,bad,0,High Exposure,1,1,0
97,2026-01-06,61,Senior (51+),female,2,Skilled,own,Unknown,Unknown,2012,Medium (2K-5K),12,Short (<1yr),education,167.67,32.98,good,1,Medium Exposure,0,0,0
98,2026-01-06,34,Adult (26-35),male,2,Skilled,own,moderate,moderate,2622,Medium (2K-5K),18,Medium (1-2yr),business,145.67,77.12,good,1,Medium Exposure,1,0,0
99,2026-01-06,36,Middle-Aged (36-50),male,2,Skilled,own,little,moderate,2337,Medium (2K-5K),36,Long (2-3yr),radio/TV,64.92,64.92,good,1,Medium Exposure,1,1,0
100,2026-01-06,36,Middle-Aged (36-50),male,3,Highly Skilled,rent,Unknown,moderate,7057,Large (5K-10K),20,Medium (1-2yr),car,352.85,196.03,good,1,Medium Exposure,1,0,0
101,2026-01-06,41,Middle-Aged (36-50),male,1,Semi-Skilled,rent,moderate,Unknown,1469,Small (<2K),24,Medium (1-2yr),car,61.21,35.83,good,1,Medium Exposure,0,0,0
102,2026-01-06,24,Young (18-25),male,2,Skilled,rent,little,moderate,2323,Medium (2K-5K),36,Long (2-3yr),radio/TV,64.53,96.79,good,1,Medium Exposure,1,1,1
103,2026-01-06,24,Young (18-25),female,2,Skilled,own,little,Unknown,932,Small (<2K),6,Short (<1yr),radio/TV,155.33,38.83,good,1,Low Exposure,0,0,1
104,2026-01-06,35,Adult (26-35),male,2,Skilled,rent,little,moderate,1919,Small (<2K),9,Short (<1yr),furniture/equipment,213.22,54.83,good,1,Low Exposure,0,0,0
105,2026-01-06,26,Adult (26-35),male,2,Skilled,rent,Unknown,Unknown,2445,Medium (2K-5K),12,Short (<1yr),car,203.75,94.04,good,1,Medium Exposure,1,0,1
106,2026-01-06,39,Middle-Aged (36-50),male,3,Highly Skilled,own,little,moderate,11938,Very Large (10K+),24,Medium (1-2yr),vacation/others,497.42,306.1,bad,0,Medium Exposure,1,0,0
107,2026-01-06,39,Middle-Aged (36-50),male,3,Highly Skilled,own,little,Unknown,6458,Large (5K-10K),18,Medium (1-2yr),car,358.78,165.59,bad,0,Medium Exposure,1,0,0
108,2026-01-06,32,Adult (26-35),male,2,Skilled,own,little,moderate,6078,Large (5K-10K),12,Short (<1yr),car,506.5,189.94,good,1,Medium Exposure,1,0,0
109,2026-01-06,30,Adult (26-35),female,2,Skilled,own,Unknown,little,7721,Large (5K-10K),24,Medium (1-2yr),furniture/equipment,321.71,257.37,good,1,Medium Exposure,1,0,0
110,2026-01-06,35,Adult (26-35),male,2,Skilled,own,quite rich,moderate,1410,Small (<2K),14,Medium (1-2yr),business,100.71,40.29,good,1,Medium Exposure,0,0,0
111,2026-01-06,31,Adult (26-35),male,2,Skilled,own,moderate,moderate,1449,Small (<2K),6,Short (<1yr),business,241.5,46.74,good,1,Low Exposure,0,0,0
112,2026-01-06,23,Young (18-25),female,2,Skilled,rent,little,rich,392,Small (<2K),15,Medium (1-2yr),education,26.13,17.04,good,1,Medium Exposure,0,0,1
113,2026-01-06,28,Adult (26-35),male,1,Semi-Skilled,rent,little,moderate,6260,Large (5K-10K),18,Medium (1-2yr),car,347.78,223.57,good,1,Medium Exposure,1,0,1
114,2026-01-06,25,Young (18-25),female,2,Skilled,own,little,Unknown,7855,Large (5K-10K),36,Long (2-3yr),car,218.19,314.2,bad,0,High Exposure,1,1,1
115,2026-01-06,35,Adult (26-35),male,2,Skilled,own,quite rich,little,1680,Small (<2K),12,Short (<1yr),radio/TV,140.0,48.0,good,1,Medium Exposure,0,0,0
116,2026-01-06,47,Middle-Aged (36-50),male,2,Skilled,own,Unknown,Unknown,3578,Medium (2K-5K),48,Very Long (3yr+),radio/TV,74.54,76.13,good,1,Medium Exposure,1,1,0
117,2026-01-06,30,Adult (26-35),female,3,Highly Skilled,own,Unknown,little,7174,Large (5K-10K),42,Very Long (3yr+),radio/TV,170.81,239.13,bad,0,High Exposure,1,1,0
118,2026-01-06,27,Adult (26-35),female,2,Skilled,rent,Unknown,little,2132,Medium (2K-5K),10,Short (<1yr),furniture/equipment,213.2,78.96,good,1,Medium Exposure,0,0,1
119,2026-01-06,23,Young (18-25),female,2,Skilled,own,quite rich,little,4281,Medium (2K-5K),33,Long (2-3yr),furniture/equipment,129.73,186.13,bad,0,Medium Exposure,1,1,1
120,2026-01-06,36,Middle-Aged (36-50),male,3,Highly Skilled,own,quite rich,moderate,2366,Medium (2K-5K),12,Short (<1yr),car,197.17,65.72,good,1,Medium Exposure,1,0,0
121,2026-01-06,25,Young (18-25),female,2,Skilled,own,little,little,1835,Small (<2K),21,Medium (1-2yr),radio/TV,87.38,73.4,bad,0,Medium Exposure,0,0,1
122,2026-01-06,41,Middle-Aged (36-50),female,3,Highly Skilled,rent,little,Unknown,3868,Medium (2K-5K),24,Medium (1-2yr),car,161.17,94.34,good,1,Medium Exposure,1,0,0
123,2026-01-06,24,Young (18-25),male,1,Semi-Skilled,rent,little,Unknown,1768,Small (<2K),12,Short (<1yr),furniture/equipment,147.33,73.67,good,1,Medium Exposure,0,0,1
124,2026-01-06,63,Senior (51+),male,2,Skilled,free,little,rich,781,Small (<2K),10,Short (<1yr),car,78.1,12.4,good,1,Low Exposure,0,0,0
125,2026-01-06,27,Adult (26-35),female,2,Skilled,rent,Unknown,moderate,1924,Small (<2K),18,Medium (1-2yr),furniture/equipment,106.89,71.26,bad,0,Medium Exposure,0,0,1
126,2026-01-06,30,Adult (26-35),male,2,Skilled,own,little,little,2121,Medium (2K-5K),12,Short (<1yr),car,176.75,70.7,good,1,Medium Exposure,0,0,0
127,2026-01-06,40,Middle-Aged (36-50),male,1,Semi-Skilled,own,little,little,701,Small (<2K),12,Short (<1yr),radio/TV,58.42,17.52,good,1,Medium Exposure,0,0,0
128,2026-01-06,30,Adult (26-35),male,2,Skilled,own,little,moderate,639,Small (<2K),12,Short (<1yr),repairs,53.25,21.3,bad,0,Medium Exposure,0,0,0
129,2026-01-06,34,Adult (26-35),male,3,Highly Skilled,own,little,moderate,1860,Small (<2K),12,Short (<1yr),car,155.0,54.71,good,1,Medium Exposure,0,0,0
130,2026-01-06,29,Adult (26-35),female,2,Skilled,own,little,little,3499,Medium (2K-5K),12,Short (<1yr),car,291.58,120.66,bad,0,Medium Exposure,1,0,1
131,2026-01-06,24,Young (18-25),female,2,Skilled,own,Unknown,moderate,8487,Large (5K-10K),48,Very Long (3yr+),car,176.81,353.62,good,1,High Exposure,1,1,1
132,2026-01-06,29,Adult (26-35),male,2,Skilled,own,little,little,6887,Large (5K-10K),36,Long (2-3yr),education,191.31,237.48,bad,0,High Exposure,1,1,1
133,2026-01-06,27,Adult (26-35),male,1,Semi-Skilled,own,little,Unknown,2708,Medium (2K-5K),15,Medium (1-2yr),furniture/equipment,180.53,100.3,good,1,Medium Exposure,1,0,1
134,2026-01-06,47,Middle-Aged (36-50),male,2,Skilled,free,little,Unknown,1984,Small (<2K),18,Medium (1-2yr),furniture/equipment,110.22,42.21,good,1,Medium Exposure,0,0,0
135,2026-01-06,21,Young (18-25),female,2,Skilled,own,moderate,Unknown,10144,Very Large (10K+),60,Very Long (3yr+),radio/TV,169.07,483.05,good,1,High Exposure,1,1,1
136,2026-01-06,38,Middle-Aged (36-50),female,2,Skilled,own,Unknown,Unknown,1240,Small (<2K),12,Short (<1yr),radio/TV,103.33,32.63,good,1,Medium Exposure,0,0,0
137,2026-01-06,27,Adult (26-35),male,2,Skilled,own,rich,Unknown,8613,Large (5K-10K),27,Long (2-3yr),car,319.0,319.0,good,1,High Exposure,1,1,1
138,2026-01-06,66,Senior (51+),male,1,Semi-Skilled,own,quite rich,moderate,766,Small (<2K),12,Short (<1yr),radio/TV,63.83,11.61,bad,0,Medium Exposure,0,0,0
139,2026-01-06,35,Adult (26-35),male,2,Skilled,own,Unknown,moderate,2728,Medium (2K-5K),15,Medium (1-2yr),radio/TV,181.87,77.94,good,1,Medium Exposure,1,0,0
140,2026-01-06,44,Middle-Aged (36-50),female,1,Semi-Skilled,rent,little,rich,1881,Small (<2K),12,Short (<1yr),radio/TV,156.75,42.75,good,1,Medium Exposure,0,0,0
141,2026-01-06,27,Adult (26-35),male,0,Unskilled,own,rich,rich,709,Small (<2K),6,Short (<1yr),car,118.17,26.26,good,1,Low Exposure,0,0,1
142,2026-01-06,30,Adult (26-35),female,3,Highly Skilled,own,little,moderate,4795,Medium (2K-5K),36,Long (2-3yr),radio/TV,133.19,159.83,good,1,Medium Exposure,1,1,0
143,2026-01-06,27,Adult (26-35),male,3,Highly Skilled,own,little,little,3416,Medium (2K-5K),27,Long (2-3yr),radio/TV,126.52,126.52,good,1,Medium Exposure,1,1,1
144,2026-01-06,22,Young (18-25),male,2,Skilled,own,little,little,2462,Medium (2K-5K),18,Medium (1-2yr),furniture/equipment,136.78,111.91,bad,0,Medium Exposure,1,0,1
145,2026-01-06,23,Young (18-25),female,2,Skilled,own,little,Unknown,2288,Medium (2K-5K),21,Medium (1-2yr),furniture/equipment,108.95,99.48,good,1,Medium Exposure,0,0,1
146,2026-01-06,30,Adult (26-35),male,2,Skilled,own,moderate,moderate,3566,Medium (2K-5K),48,Very Long (3yr+),business,74.29,118.87,good,1,Medium Exposure,1,1,0
147,2026-01-06,39,Middle-Aged (36-50),female,2,Skilled,own,little,little,860,Small (<2K),6,Short (<1yr),car,143.33,22.05,good,1,Low Exposure,0,0,0
148,2026-01-06,51,Senior (51+),female,2,Skilled,own,moderate,Unknown,682,Small (<2K),12,Short (<1yr),car,56.83,13.37,good,1,Medium Exposure,0,0,0
149,2026-01-06,28,Adult (26-35),male,2,Skilled,own,little,little,5371,Large (5K-10K),36,Long (2-3yr),furniture/equipment,149.19,191.82,good,1,High Exposure,1,1,1
